Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Fundamentos de Programação: Bancos de Dados,"Uma vez que você passar dos básicos da programação, você certamente precisará de um banco de dados. Bancos de dados fornecem uma estrutura consistente e organizada para armazenar e recuperar grandes quantidades de dados. Eles permitem que você crie aplicativos mais complexos que podem por exemplo, receber pedidos, processar pagamentos, fazer recomendações, autenticar usuários e muito mais. Este curso fornece os básicos necessários para você começar a criar e usar bancos de dados. Explore a terminologia: formas normais, ACID, CRUD, integridade referencial, transações, registros e tabelas. Aprenda o papel das chaves primárias e valores exclusivos em um modelo relacional. Aprenda como projetar o sistema ideal para conter seus dados, começando pelas tabelas e seus relacionamentos. Descubra como escrever consultas para extrair os dados necessários. Veja como manipular as diferentes demandas de armazenamento, acesso, desempenho e segurança. O instrutor Lucas Longo fornece exemplos práticos e explicações claras que ajudarão você a projetar bancos de dados que podem suportar as necessidades de seus aplicativos, dados e usuários.",Course,2021-02-26 16:16 UTC,N/A,false,N/A,
Excel: Macros e VBA para Iniciantes,"Se você é um usuário frequente do Excel, é provável que você tenha algumas tarefas repetitivas nele. Felizmente, você pode automatizar essas tarefas criando macros. Muitas pessoas presumem que as macros são coisas complicadas e reservadas somente para os usuários mais avançados do Excel. Não é assim! Neste curso rápido, o MVP de Excel Cristiano Galvão primeiramente explica quais são as melhores situações para usar uma macro e, em seguida, mostra como você pode preparar uma para gravar seus cliques, digitação e operações nas planilhas. Este conhecimento vai te levar a um entendimento do papel e do potencial do VBA (Visual Basic for Applications) para resolver inúmeros problemas.",Course,2021-09-06 16:29 UTC,N/A,false,N/A,
Fundamentos da Inteligência Artificial: Aprendizado de Máquina,"O aprendizado de máquina é uma das áreas mais vibrantes da inteligência artificial. Os algoritmos de aprendizado de máquina permitem que os computadores aprendam coisas novas sem serem programados para isso. Eles usam a estatística como uma forma de entender melhor a enorme quantidade de dados criada todos os dias. Os algoritmos mais recentes ajudam as máquinas a classificar imagens, sons e vídeos. Eles podem responder às nossas perguntas, descobrir novos medicamentos e até escrever músicas. Neste curso, examinaremos a definição e os tipos de aprendizado de máquina: supervisionado, não supervisionado e por reforço. Depois, você verá como usar os algoritmos mais conhecidos, como árvores de decisão, agrupamento e análise de regressão, para encontrar padrões em conjuntos de dados massivos. Por último, você conhecerá algumas das armadilhas ao iniciar no aprendizado de máquina.",Course,2021-05-21 17:53 UTC,N/A,false,N/A,
Descubra a Linguagem de Programação R,"Cada dia mais empresas se apoiam em dados para tomar decisões e melhorar os seus produtos. R é uma linguagem de programação gratuita, de código aberto, voltada para ciência de dados e está entre as ferramentas mais utilizadas para análise e manipulação de dados por profissionais da área. Aprenda o básico de R e inicie a sua jornada no mundo dos dados, com a instrutora e especialista em ciência de dados Jessica Temporal. As aulas vão te ensinar os primeiros passos com R, incluindo como instalar a linguagem e a ferramenta RStudio, assim como utilizar diversos pacotes da vasta biblioteca de  pacotes disponível. Você vai ver em primeira mão como fazer modelagem de dados, visualizações e análises estatísticas. Após terminar o curso, você vai ter um conhecimento básico, mas completo do poder e da flexibilidade de R, e entender como aproveitar essa ferramenta para explorar e analisar uma variedade  de dados.",Course,2021-07-29 09:26 UTC,N/A,false,N/A,
Conformidade com a LGPD: O Impacto em Empresas Brasileiras,"A Lei Geral de Proteção de Dados Pessoais terá influência sobre qualquer pessoa que já tenha fornecido seus dados e sobre qualquer instituição que detenha tais informações de seus clientes, colaboradores ou fornecedores. E é sobre esta relação que nós vamos falar neste curso. <br><br>

Para tanto, trataremos, principalmente, sobre:
a) a espinha dorsal da LGPD, ou seja, quais os elementos básicos para a compreensão desta Lei;
b) o que deve ser feito para estar em conformidade com a Lei;
c) as tendências e as perspectivas que teremos com esse novo cenário regulatório.<br><br>

Esse curso é compacto, modulado na dose certa para quem quer ter uma noção básica sobre a lei geral de proteção de dados, sem abrir mão do conhecimento dos pontos mais importantes desta Lei.

Junte-se à nós, desbrave a LGPD, descubra, para além da proteção de direitos e liberdades fundamentais, quais as oportunidades que surgem a partir da vigência desta lei.",Course,2021-05-13 21:06 UTC,N/A,false,N/A,
Como Dar Feedback aos Colaboradores,"Nesse curso, o escritor Todd Dewett ajuda você a identificar a melhor forma de dar feedback positivo e negativo aos funcionários. Saiba como criar uma cultura baseada em feedback efetivo, fazer coaching e dar sugestões que ajudam os funcionários a se desenvolverem. Descubra as características de feedback útil, seus diferentes tipos, conversas estruturadas e estratégias para reorientar as reações difíceis dos funcionários.",Course,2021-03-04 18:36 UTC,N/A,false,N/A,
Como Preparar e Fazer Apresentações de Negócios,"O que torna uma apresentação convincente? Uma apresentação feita com base em uma pesquisa profunda, adaptada aos interesses dos ouvintes e elaborada de forma a prever e responder às perguntas sobre a mensagem sendo transmitida. Neste curso, Tatiana Kolovou, autora e professora da Kelley Business School, ensina a preparar apresentações de negócios marcantes. Aprenda a identificar sua narrativa, recorrer à lógica e à emoção, ganhar credibilidade, preparar slides e fazer uma apresentação convincente. Nesta jornada, acompanhe Katie, uma jovem profissional se preparando para fazer uma apresentação aos executivos de sua empresa.",Course,2021-05-10 08:50 UTC,N/A,false,N/A,
Liderando Mudanças,"O curso abrange técnicas que aumentarão a probabilidade de sucesso da mudança, como antecipar resistência, criar uma visão convincente e usar a inteligência emocional para criar consenso na equipe.",Course,2021-04-25 15:35 UTC,N/A,false,N/A,
JavaScript: Formação Básica,"O JavaScript é uma linguagem de script para páginas web. À medida que a web evolui de um ambiente estático para um dinâmico, o foco da tecnologia está se afastando de marcação e estilo estáticos - frequentemente tratados por sistemas de gerenciamento de conteúdo ou scripts automatizados - para interfaces dinâmicas e interações avançadas. Uma vez visto como opcional, o JavaScript agora está se tornando parte integrante da web, ao inserir o seu script em cada camada.

Através de exemplos práticos e mini-projetos, este curso irá lhe ajudar a formar sua compreensão do JavaScript passo a passo, desde princípios básicos como variáveis, tipos de dados, condicionais e funções até tópicos avançados, incluindo laços de repetição, closures (fechamentos) e DOM scripting. Ao longo do percurso, você também será apresentado ao ES6 e aos fundamentos das bibliotecas de JavaScript.",Course,2020-11-24 01:25 UTC,N/A,false,N/A,
Learning Verilog for FPGA Development,"FPGA development requires a big switch from more typical programming processes. In order to get an FPGA-based embedded system up and running, developers must add a hardware description language to their repertoire. In this course, Eduardo Corpeño helps you learn the fundamentals of one such language: the popular and concise Verilog. Eduardo begins with the basics; he explains what a hardware description language is and some similarities to traditional programming languages. He then covers the basic syntax of Verilog, as well as how to create test bench modules to run simulations, use variables with operators as an advantage of the behavioral level of abstraction, and more. Along the way, he provides demos and programming challenges that allow you to put your new skills to the test.",Course,2020-12-12 18:21 UTC,N/A,false,N/A,
